disease,weight,symptom
유방암 (Breast Cancer),h,유방의 만져지는 종괴 (Palpable Breast Lump)
유방암 (Breast Cancer),h,"유두 분비물 (Nipple Discharge, Bloody or Spontaneous)"
유방암 (Breast Cancer),h,"피부 변화 (Skin Changes: Peau d’orange, Ulceration, Erythema, Thickening)"
유방암 (Breast Cancer),h,유두 함몰 또는 퇴축 (New-Onset Nipple Inversion/Retraction)
유방암 (Breast Cancer),h,겨드랑이 종괴 (Axillary Masses/Lymphadenopathy)
유방암 (Breast Cancer),h,"비대칭적인 유방 크기 변화 또는 형태 변화 (Asymmetry in Breast Size/Shape, New Onset)"
유방암 (Breast Cancer),m,"유방통 (Breast Pain, Mastalgia)"
유방암 (Breast Cancer),m,비대칭적인 유방 크기 변화 (Asymmetry or Breast Enlargement)
유방암 (Breast Cancer),m,"유두 및 피부 가려움, 발진 (Nipple/Areolar Eczema or Itching)"
유방암 (Breast Cancer),m,유방 조직의 단단한 감촉 변화 (Localized Thickening or Induration)
유방암 (Breast Cancer),m,"전신적 증상 (Systemic Symptoms: Weight Loss, Fatigue, Night Sweats, Fever)"
유방암 (Breast Cancer),m,임신 또는 수유 중 비정상적 유방 변화 (Pregnancy/Lactation-Related Abnormalities)
유방암 (Breast Cancer),m,수술 후 또는 방사선 치료 후 유방 조직 변화 (Post-Surgical or Post-Radiation Breast Changes)
유방암 (Breast Cancer),h,"가족력 (Family History of Breast Cancer, BRCA Mutation)"
유방암 (Breast Cancer),h,"유전자 변이 (Genetic Predisposition: BRCA1/BRCA2, TP53, PALB2 등)"
유방암 (Breast Cancer),h,이전 유방 생검에서 비정형 증식 발견 (Prior Biopsy with Atypia or LCIS/ADH)
유방암 (Breast Cancer),m,"호르몬 요인 (Hormonal Factors: Early Menarche, Late Menopause, HRT Use)"
유방암 (Breast Cancer),h,"어린 시절 흉부 방사선 치료 이력 (Prior Chest Radiation Therapy, esp. 10~30세 노출)"
전립선암 (Prostate Cancer),h,배뇨 곤란 (Urinary Hesitancy)
전립선암 (Prostate Cancer),h,약한 소변 줄기 (Weak Urinary Stream)
전립선암 (Prostate Cancer),h,빈뇨 (Urinary Frequency)
전립선암 (Prostate Cancer),h,"골반통 및 뼈 통증 (Pelvic Pain and Bone Pain, esp. Back or Hip Pain)"
전립선암 (Prostate Cancer),h,혈뇨 및 혈정액증 (Hematuria and Hematospermia)
전립선암 (Prostate Cancer),h,체중 감소 및 식욕 부진 (Unexplained Weight Loss and Anorexia)
전립선암 (Prostate Cancer),m,급격한 PSA 상승 (Rapid Prostate-specific Antigen Increase)
전립선암 (Prostate Cancer),m,야간뇨 증가 (Nocturia Increase)
전립선암 (Prostate Cancer),m,요실금 또는 소변 정체 (Urinary Incontinence or Retention)
전립선암 (Prostate Cancer),m,사정 장애 및 성기능 변화 (Ejaculatory Dysfunction and Erectile Dysfunction)
전립선암 (Prostate Cancer),h,"가족력 (Family History of Prostate Cancer, esp. Early-Onset or Breast Cancer in Family)"
전립선암 (Prostate Cancer),h,BRCA1/2 돌연변이 보유자 (BRCA1/2 Mutation Carrier)
전립선암 (Prostate Cancer),h,흑인/African American 유전적 소인 (Black/African American Ancestry)
전립선암 (Prostate Cancer),h,40세 이전 전립선암 병력 (Personal History of Prostate Cancer Before Age 40)
전립선암 (Prostate Cancer),m,PSA 검사 기준 초과자 (Above Age-Adjusted Prostate-specific Antigen Median Levels)
대장암 (Colorectal Cancer),h,직장 출혈 (Rectal Bleeding)
대장암 (Colorectal Cancer),h,철결핍성 빈혈 (Iron Deficiency Anemia)
대장암 (Colorectal Cancer),h,설명이 어려운 체중 감소 (Unexplained Weight Loss)
대장암 (Colorectal Cancer),h,배변 후 잔변감 (Feeling of Incomplete Evacuation)
대장암 (Colorectal Cancer),m,배변 습관 변화 (Changes in Bowel Habits - Diarrhea/Constipation)
대장암 (Colorectal Cancer),m,복통 또는 복부 팽만감 (Abdominal Pain or Bloating)
대장암 (Colorectal Cancer),m,점액성 변 (Mucus in Stool)
대장암 (Colorectal Cancer),h,염증성 장질환 병력 (Personal History of Inflammatory Bowel Disease - IBD)
대장암 (Colorectal Cancer),h,대장암 가족력 (Family History of Colorectal Cancer)
대장암 (Colorectal Cancer),h,대장 선종성 용종 병력 (History of Adenomatous Polyps)
대장암 (Colorectal Cancer),m,이전 복부 또는 골반 방사선 치료 병력 (Prior Abdominal/Pelvic Radiation Therapy)
대장암 (Colorectal Cancer),m,흡연 및 과음 (Smoking & Alcohol Consumption)
대장암 (Colorectal Cancer),m,비만 (Obesity)
폐암 (Lung Cancer),h,지속적인 기침 (Persistent Cough)
폐암 (Lung Cancer),h,객혈 (Hemoptysis - Coughing up Blood)
폐암 (Lung Cancer),h,호흡곤란 (Dyspnea - Shortness of Breath)
폐암 (Lung Cancer),h,가슴 통증 또는 가슴 불편감 (Chest Pain)
폐암 (Lung Cancer),h,설명이 어려운 체중 감소 (Unexplained Weight Loss)
폐암 (Lung Cancer),m,쉰 목소리 (Hoarseness - Voice Changes)
폐암 (Lung Cancer),m,뼈 통증 (Bone Pain)
폐암 (Lung Cancer),m,두통 (Headache)
폐암 (Lung Cancer),m,피로감 (Fatigue)
폐암 (Lung Cancer),h,흡연력 (Smoking History)
폐암 (Lung Cancer),m,간접흡연 노출 (Secondhand Smoke Exposure)
폐암 (Lung Cancer),m,직업적 발암 물질 노출 (Occupational Exposure to Carcinogens)
폐암 (Lung Cancer),m,라돈 노출 (Residential Radon Exposure)
폐암 (Lung Cancer),m,방사선 치료 병력 (Prior Chest Radiation Therapy)
폐암 (Lung Cancer),m,가족력 (Family History of Lung Cancer)
비후성 심근증 (Hypertrophic cardiomyopathy),h,"호흡곤란 (Dyspnea, Shortness of Breath)"
비후성 심근증 (Hypertrophic cardiomyopathy),h,"흉통 (Chest Pain, Angina)"
비후성 심근증 (Hypertrophic cardiomyopathy),h,실신 또는 어지러움 (Syncope or Dizziness)
비후성 심근증 (Hypertrophic cardiomyopathy),h,운동 후 가슴 답답함 또는 흉통 (Chest Tightness or Angina After Exercise)
비후성 심근증 (Hypertrophic cardiomyopathy),h,운동 후 또는 기립 시 현기증 (Dizziness Upon Exertion or Standing Up)
비후성 심근증 (Hypertrophic cardiomyopathy),m,운동 중 또는 식사 후 호흡곤란 (Dyspnea During Exercise or After Meals)
비후성 심근증 (Hypertrophic cardiomyopathy),m,숨을 들이마실 때보다 내쉴 때 심해지는 호흡곤란 (Expiratory Dyspnea Worse Than Inspiratory Dyspnea)
비후성 심근증 (Hypertrophic cardiomyopathy),m,발살바 시 어지러움 또는 두근거림 (Lightheadedness or Palpitations During Valsalva Maneuver)
비후성 심근증 (Hypertrophic cardiomyopathy),h,"갑작스러운 심장마비 가족력 (Family History of Sudden Cardiac Death, SCD)"
비후성 심근증 (Hypertrophic cardiomyopathy),m,운동 중 혈압 반응 저하 (Abnormal Blood Pressure Response to Exercise)
뇌졸중 (Stroke),h,편측 마비 (Unilateral Weakness)
뇌졸중 (Stroke),h,언어 장애 (Speech Disturbance)
뇌졸중 (Stroke),h,시야 장애 (Visual Disturbance)
뇌졸중 (Stroke),h,어지럼증 및 균형 문제 (Dizziness & Balance Issues)
뇌졸중 (Stroke),h,심한 두통 (Severe Headache - Thunderclap Headache 포함)
뇌졸중 (Stroke),h,의식 저하 (Altered Consciousness)
뇌졸중 (Stroke),m,감각 저하 (Sensory Loss)
뇌졸중 (Stroke),m,삼킴 장애 (Dysphagia)
뇌졸중 (Stroke),m,기억력 저하 (Cognitive Impairment)
뇌졸중 (Stroke),m,발작 (Seizures)
뇌졸중 (Stroke),m,"일시적인 증상(TIA) (Transient Ischemic Attack, TIA)"
뇌졸중 (Stroke),m,구토 (Nausea/Vomiting)
뇌졸중 (Stroke),h,고혈압 병력 (Hypertension History)
뇌졸중 (Stroke),h,당뇨병 (Diabetes Mellitus)
뇌졸중 (Stroke),h,"심방세동 (Atrial Fibrillation, AF)"
뇌졸중 (Stroke),m,이전 임신 관련 합병증 (Pregnancy-Related Stroke Risk)
뇌졸중 (Stroke),m,혈관 질환 및 동맥 해리 (Arteriopathy and Arterial Dissection)
뇌동맥류 지주막하출혈 (aSAH),h,갑작스러운 심한 두통 (Thunderclap Headache)
뇌동맥류 지주막하출혈 (aSAH),h,의식 저하 또는 혼미 (Altered Consciousness/Coma)
뇌동맥류 지주막하출혈 (aSAH),h,구토 또는 오심 (Nausea/Vomiting)
뇌동맥류 지주막하출혈 (aSAH),h,경부 강직 (Neck Stiffness/Nuchal Rigidity)
뇌동맥류 지주막하출혈 (aSAH),h,발작 (Seizures)
뇌동맥류 지주막하출혈 (aSAH),h,"일시적 의식 소실 (Transient Loss of Consciousness, TLOC)"
뇌동맥류 지주막하출혈 (aSAH),m,시야 장애 (Blurred Vision or Diplopia)
뇌동맥류 지주막하출혈 (aSAH),m,혈압 급상승 (Sudden Severe Hypertension)
뇌동맥류 지주막하출혈 (aSAH),m,빛 공포증 및 안구통 (Photophobia & Eye Pain)
뇌동맥류 지주막하출혈 (aSAH),m,두개 내 압력 증가로 인한 두통 지속 (Persistent Headache After Initial Onset)
뇌동맥류 지주막하출혈 (aSAH),m,사지 감각 이상 (Paresthesia or Numbness in Limbs)
뇌동맥류 지주막하출혈 (aSAH),h,뇌동맥류 병력 (History of Intracranial Aneurysm)
뇌동맥류 지주막하출혈 (aSAH),h,가족력 (Family History of Aneurysmal SAH)
뇌동맥류 지주막하출혈 (aSAH),h,흡연 (Smoking)
뇌동맥류 지주막하출혈 (aSAH),h,고혈압 (Hypertension)
뇌동맥류 지주막하출혈 (aSAH),m,다발성 뇌동맥류 (Multiple Aneurysms)
"말초동맥질환 (Lower Extremity Peripheral Artery Disease, PAD)",h,간헐적 파행 (Claudication)
"말초동맥질환 (Lower Extremity Peripheral Artery Disease, PAD)",h,하지의 휴식 시 통증 (Ischemic Rest Pain)
"말초동맥질환 (Lower Extremity Peripheral Artery Disease, PAD)",h,하지 궤양 및 괴저 (Non-healing Wounds/Gangrene)
"말초동맥질환 (Lower Extremity Peripheral Artery Disease, PAD)",m,비전형적 하지 통증 (Atypical Leg Pain)
"말초동맥질환 (Lower Extremity Peripheral Artery Disease, PAD)",m,하지 근력 약화 (Leg Weakness)
"말초동맥질환 (Lower Extremity Peripheral Artery Disease, PAD)",m,하지 냉감 및 창백함 (Cold or Pale Extremity)
"말초동맥질환 (Lower Extremity Peripheral Artery Disease, PAD)",m,하지의 맥박 감소 (Reduced or Absent Pulses in Lower Extremities)
"말초동맥질환 (Lower Extremity Peripheral Artery Disease, PAD)",m,자세 변화에 따른 하지 색 변화 (Dependent Rubor and Elevation Pallor)
"말초동맥질환 (Lower Extremity Peripheral Artery Disease, PAD)",m,"발과 발톱의 변화 (Hair Loss, Nail Changes, Skin Thinning)"
"말초동맥질환 (Lower Extremity Peripheral Artery Disease, PAD)",m,만성적 피부 상처 및 감염 (Chronic Wounds and Recurrent Infections)
"말초동맥질환 (Lower Extremity Peripheral Artery Disease, PAD)",m,하지 부종 (Leg Swelling)
"말초동맥질환 (Lower Extremity Peripheral Artery Disease, PAD)",m,발기부전 (Erectile Dysfunction)
"말초동맥질환 (Lower Extremity Peripheral Artery Disease, PAD)",h,흡연력 (Smoking History)
"말초동맥질환 (Lower Extremity Peripheral Artery Disease, PAD)",h,당뇨병 (Diabetes Mellitus)
"말초동맥질환 (Lower Extremity Peripheral Artery Disease, PAD)",m,고혈압 (Hypertension)
"말초동맥질환 (Lower Extremity Peripheral Artery Disease, PAD)",m,고지혈증 (Hyperlipidemia)
"말초동맥질환 (Lower Extremity Peripheral Artery Disease, PAD)",h,"관상동맥질환 병력 (History of Coronary Artery Disease, CAD)"
"말초동맥질환 (Lower Extremity Peripheral Artery Disease, PAD)",h,뇌졸중 병력 (History of Stroke)
"말초동맥질환 (Lower Extremity Peripheral Artery Disease, PAD)",m,"만성 신장 질환 (Chronic Kidney Disease, CKD)"
"말초동맥질환 (Lower Extremity Peripheral Artery Disease, PAD)",m,PAD의 가족력 (Family History of PAD)
"말초동맥질환 (Lower Extremity Peripheral Artery Disease, PAD)",m,류마티스 질환 (Rheumatoid Diseases)
심방세동 (Atrial fibrillation),h,심계항진 (Palpitations)
심방세동 (Atrial fibrillation),h,어지럼증 및 실신 (Dizziness and Syncope)
심방세동 (Atrial fibrillation),h,흉통 (Chest Pain/Angina)
심방세동 (Atrial fibrillation),h,호흡곤란 (Dyspnea)
심방세동 (Atrial fibrillation),m,피로 및 무기력 (Fatigue and Weakness)
심방세동 (Atrial fibrillation),m,인지 기능 저하 (Cognitive Impairment)
심방세동 (Atrial fibrillation),m,운동 시 호흡곤란 (Exertional Dyspnea)
심방세동 (Atrial fibrillation),m,"수면 장애 (Sleep Disturbance, Including Nocturnal Dyspnea)"
심방세동 (Atrial fibrillation),h,고혈압 (Hypertension)
심방세동 (Atrial fibrillation),h,당뇨병 (Diabetes Mellitus)
심방세동 (Atrial fibrillation),h,비만 (Obesity)
심방세동 (Atrial fibrillation),h,흡연 (Smoking)
심방세동 (Atrial fibrillation),h,과음 (Excessive Alcohol Consumption)
심방세동 (Atrial fibrillation),m,"만성 신장 질환 (Chronic Kidney Disease, CKD)"
심방세동 (Atrial fibrillation),h,심근경색 및 관상동맥질환 병력 (History of Myocardial Infarction and CAD)
심방세동 (Atrial fibrillation),m,"폐쇄성 수면무호흡증 (Obstructive Sleep Apnea, OSA)"
심부전 (Heart failure),h,호흡곤란 (Dyspnea)
심부전 (Heart failure),h,기좌호흡 (Orthopnea)
심부전 (Heart failure),h,"야간 발작성 호흡곤란 (Paroxysmal Nocturnal Dyspnea, PND)"
심부전 (Heart failure),h,하지부종 (Peripheral Edema)
심부전 (Heart failure),h,피로 및 무력감 (Fatigue & Weakness)
심부전 (Heart failure),h,체중 증가 또는 급격한 체중 변화 (Rapid Weight Gain or Loss)
심부전 (Heart failure),m,야간 잦은 소변 (Nocturia)
심부전 (Heart failure),m,청색증 (Cyanosis)
심부전 (Heart failure),m,"불규칙한 심박동 (Irregular Heartbeat, Palpitations)"
심부전 (Heart failure),m,식욕 감소 및 복부 팽만 (Loss of Appetite & Abdominal Distension)
심부전 (Heart failure),h,고혈압 (Hypertension)
심부전 (Heart failure),h,"관상동맥질환 (Coronary Artery Disease, CAD)"
심부전 (Heart failure),h,당뇨병 (Diabetes Mellitus)
심부전 (Heart failure),m,"만성 신장 질환 (Chronic Kidney Disease, CKD)"
심부전 (Heart failure),m,비만 (Obesity)
심부전 (Heart failure),m,음주 및 흡연 (Alcohol & Smoking)
심부전 (Heart failure),h,이전 심근경색 병력 (Prior Myocardial Infarction)
아나필락시스 (Anaphylaxis),h,급성 발현 (Acute Onset of Symptoms)
아나필락시스 (Anaphylaxis),h,"피부 및 점막 침범 (Skin and Mucosal Involvement: Urticaria, Angioedema, Flushing, Pruritus)"
아나필락시스 (Anaphylaxis),h,"호흡기 증상 (Respiratory Symptoms: Dyspnea, Wheezing, Stridor, Upper Airway Edema)"
아나필락시스 (Anaphylaxis),h,"혈압 저하 (Hypotension, Shock, Syncope)"
아나필락시스 (Anaphylaxis),h,"심한 위장관 증상 (Severe Gastrointestinal Symptoms: Cramping, Vomiting, Diarrhea)"
아나필락시스 (Anaphylaxis),m,"호흡곤란이 동반된 쉰 목소리 및 연하곤란 (Hoarseness, Difficulty Swallowing with Respiratory Distress)"
아나필락시스 (Anaphylaxis),m,"빠른 심박수 및 부정맥 (Tachycardia, Arrhythmia)"
아나필락시스 (Anaphylaxis),m,혼돈 및 의식 저하 (Confusion and Altered Mental Status)
아나필락시스 (Anaphylaxis),m,혈압 저하 없이 나타나는 복통 및 구역감 (Nausea and Mild Abdominal Symptoms Without Hypotension)
아나필락시스 (Anaphylaxis),h,과거 아나필락시스 병력 (History of Anaphylaxis)
아나필락시스 (Anaphylaxis),h,"음식 알레르기 병력 (History of Food Allergy: Peanut, Tree Nuts, Shellfish, Dairy, etc.)"
아나필락시스 (Anaphylaxis),h,"곤충 독 알레르기 병력 (History of Venom Allergy: Bee, Wasp, Fire Ants)"
아나필락시스 (Anaphylaxis),m,천식 병력 (History of Asthma)
아나필락시스 (Anaphylaxis),h,"Beta-lactam antibiotics, NSAIDs, 조영제(Radiocontrast media) 과거 알레르기 병력"
아나필락시스 (Anaphylaxis),m,"운동 유발 아나필락시스 (Exercise-Induced Anaphylaxis, EIA)"
아토피 피부염 (Atopic dermatitis),h,심한 가려움증 (Severe Pruritus)
아토피 피부염 (Atopic dermatitis),h,특징적인 피부 병변 분포 (Characteristic Lesion Distribution)
아토피 피부염 (Atopic dermatitis),h,만성 또는 재발성 피부염 (Chronic or Recurrent Dermatitis)
아토피 피부염 (Atopic dermatitis),h,"개인 또는 가족력상 아토피 질환 병력 (Personal or Family History of Atopy: AD, Asthma, Allergic Rhinitis)"
아토피 피부염 (Atopic dermatitis),m,건조한 피부 (Xerosis / Dry Skin)
