disease,weight,symptom
Breast Cancer,h,Palpable Breast Lump
Breast Cancer,h,"Nipple Discharge, Bloody or Spontaneous"
Breast Cancer,h,"Skin Changes: Peau d’orange, Ulceration, Erythema, Thickening"
Breast Cancer,h,New-Onset Nipple Inversion/Retraction
Breast Cancer,h,Axillary Masses/Lymphadenopathy
Breast Cancer,h,"Asymmetry in Breast Size/Shape, New Onset"
Breast Cancer,m,"Breast Pain, Mastalgia"
Breast Cancer,m,Asymmetry or Breast Enlargement
Breast Cancer,m,Nipple/Areolar Eczema or Itching
Breast Cancer,m,Localized Thickening or Induration
Breast Cancer,m,"Systemic Symptoms: Weight Loss, Fatigue, Night Sweats, Fever"
Breast Cancer,m,Pregnancy/Lactation-Related Abnormalities
Breast Cancer,m,Post-Surgical or Post-Radiation Breast Changes
Breast Cancer,h,"Family History of Breast Cancer, BRCA Mutation"
Breast Cancer,h,"Genetic Predisposition: BRCA1/BRCA2, TP53, PALB2 etc."
Breast Cancer,h,Prior Biopsy with Atypia or LCIS/ADH
Breast Cancer,m,"Hormonal Factors: Early Menarche, Late Menopause, HRT Use"
Breast Cancer,h,"Prior Chest Radiation Therapy, esp. at the age of 10~30"
Prostate Cancer,h,Urinary Hesitancy
Prostate Cancer,h,Weak Urinary Stream
Prostate Cancer,h,Urinary Frequency
Prostate Cancer,h,"Pelvic Pain and Bone Pain, esp. Back or Hip Pain"
Prostate Cancer,h,Hematuria and Hematospermia
Prostate Cancer,h,Unexplained Weight Loss and Anorexia
Prostate Cancer,m,Rapid Prostate-specific Antigen Increase
Prostate Cancer,m,Nocturia Increase
Prostate Cancer,m,Urinary Incontinence or Retention
Prostate Cancer,m,Ejaculatory Dysfunction and Erectile Dysfunction
Prostate Cancer,h,"Family History of Prostate Cancer, esp. Early-Onset or Breast Cancer in Family"
Prostate Cancer,h,BRCA1/2 Mutation Carrier
Prostate Cancer,h,Black/African American Ancestry
Prostate Cancer,h,Personal History of Prostate Cancer Before Age 40
Prostate Cancer,m,Above Age-Adjusted Prostate-specific Antigen Median Levels
Colorectal Cancer,h,Rectal Bleeding
Colorectal Cancer,h,Iron Deficiency Anemia
Colorectal Cancer,h,Unexplained Weight Loss
Colorectal Cancer,h,Feeling of Incomplete Evacuation
Colorectal Cancer,m,Changes in Bowel Habits - Diarrhea/Constipation
Colorectal Cancer,m,Abdominal Pain or Bloating
Colorectal Cancer,m,Mucus in Stool
Colorectal Cancer,h,Personal History of Inflammatory Bowel Disease - IBD
Colorectal Cancer,h,Family History of Colorectal Cancer
Colorectal Cancer,h,History of Adenomatous Polyps
Colorectal Cancer,m,Prior Abdominal/Pelvic Radiation Therapy
Colorectal Cancer,m,Smoking & Alcohol Consumption
Colorectal Cancer,m,Obesity
Lung Cancer,h,Persistent Cough
Lung Cancer,h,Hemoptysis - Coughing up Blood
Lung Cancer,h,Dyspnea - Shortness of Breath
Lung Cancer,h,Chest Pain
Lung Cancer,h,Unexplained Weight Loss
Lung Cancer,m,Hoarseness - Voice Changes
Lung Cancer,m,Bone Pain
Lung Cancer,m,Headache
Lung Cancer,m,Fatigue
Lung Cancer,h,Smoking History
Lung Cancer,m,Secondhand Smoke Exposure
Lung Cancer,m,Occupational Exposure to Carcinogens
Lung Cancer,m,Residential Radon Exposure
Lung Cancer,m,Prior Chest Radiation Therapy
Lung Cancer,m,Family History of Lung Cancer
Hypertrophic cardiomyopathy,h,"Dyspnea, Shortness of Breath"
Hypertrophic cardiomyopathy,h,"Chest Pain, Angina"
Hypertrophic cardiomyopathy,h,Syncope or Dizziness
Hypertrophic cardiomyopathy,h,Chest Tightness or Angina After Exercise
Hypertrophic cardiomyopathy,h,Dizziness Upon Exertion or Standing Up
Hypertrophic cardiomyopathy,m,Dyspnea During Exercise or After Meals
Hypertrophic cardiomyopathy,m,Expiratory Dyspnea Worse Than Inspiratory Dyspnea
Hypertrophic cardiomyopathy,m,Lightheadedness or Palpitations During Valsalva Maneuver
Hypertrophic cardiomyopathy,h,"Family History of Sudden Cardiac Death, SCD"
Hypertrophic cardiomyopathy,m,Abnormal Blood Pressure Response to Exercise
Stroke,h,Unilateral Weakness
Stroke,h,Speech Disturbance
Stroke,h,Visual Disturbance
Stroke,h,Dizziness & Balance Issues
Stroke,h,Severe Headache - including Thunderclap Headache
Stroke,h,Altered Consciousness
Stroke,m,Sensory Loss
Stroke,m,Dysphagia
Stroke,m,Cognitive Impairment
Stroke,m,Seizures
Stroke,m,TIA
Stroke,m,Nausea/Vomiting
Stroke,h,Hypertension History
Stroke,h,Diabetes Mellitus
Stroke,h,"Atrial Fibrillation, AF"
Stroke,m,Pregnancy-Related Stroke Risk
Stroke,m,Arteriopathy and Arterial Dissection
aSAH,h,Thunderclap Headache
aSAH,h,Altered Consciousness/Coma
aSAH,h,Nausea/Vomiting
aSAH,h,Neck Stiffness/Nuchal Rigidity
aSAH,h,Seizures
aSAH,h,"Transient Loss of Consciousness, TLOC"
aSAH,m,Blurred Vision or Diplopia
aSAH,m,Sudden Severe Hypertension
aSAH,m,Photophobia & Eye Pain
aSAH,m,Persistent Headache After Initial Onset
aSAH,m,Paresthesia or Numbness in Limbs
aSAH,h,History of Intracranial Aneurysm
aSAH,h,Family History of Aneurysmal SAH
aSAH,h,Smoking
aSAH,h,Hypertension
aSAH,m,Multiple Aneurysms
"Lower Extremity Peripheral Artery Disease, PAD",h,Claudication
"Lower Extremity Peripheral Artery Disease, PAD",h,Ischemic Rest Pain
"Lower Extremity Peripheral Artery Disease, PAD",h,Non-healing Wounds/Gangrene
"Lower Extremity Peripheral Artery Disease, PAD",m,Atypical Leg Pain
"Lower Extremity Peripheral Artery Disease, PAD",m,Leg Weakness
"Lower Extremity Peripheral Artery Disease, PAD",m,Cold or Pale Extremity
"Lower Extremity Peripheral Artery Disease, PAD",m,Reduced or Absent Pulses in Lower Extremities
"Lower Extremity Peripheral Artery Disease, PAD",m,Dependent Rubor and Elevation Pallor
"Lower Extremity Peripheral Artery Disease, PAD",m,"Hair Loss, Nail Changes, Skin Thinning"
"Lower Extremity Peripheral Artery Disease, PAD",m,Chronic Wounds and Recurrent Infections
"Lower Extremity Peripheral Artery Disease, PAD",m,Leg Swelling
"Lower Extremity Peripheral Artery Disease, PAD",m,Erectile Dysfunction
"Lower Extremity Peripheral Artery Disease, PAD",h,Smoking History
"Lower Extremity Peripheral Artery Disease, PAD",h,Diabetes Mellitus
"Lower Extremity Peripheral Artery Disease, PAD",m,Hypertension
"Lower Extremity Peripheral Artery Disease, PAD",m,Hyperlipidemia
"Lower Extremity Peripheral Artery Disease, PAD",h,"History of Coronary Artery Disease, CAD"
"Lower Extremity Peripheral Artery Disease, PAD",h,History of Stroke
"Lower Extremity Peripheral Artery Disease, PAD",m,"Chronic Kidney Disease, CKD"
"Lower Extremity Peripheral Artery Disease, PAD",m,Family History of PAD
"Lower Extremity Peripheral Artery Disease, PAD",m,Rheumatoid Diseases
Atrial fibrillation,h,Palpitations
Atrial fibrillation,h,Dizziness and Syncope
Atrial fibrillation,h,Chest Pain/Angina
Atrial fibrillation,h,Dyspnea
Atrial fibrillation,m,Fatigue and Weakness
Atrial fibrillation,m,Cognitive Impairment
Atrial fibrillation,m,Exertional Dyspnea
Atrial fibrillation,m,"Sleep Disturbance, Including Nocturnal Dyspnea"
Atrial fibrillation,h,Hypertension
Atrial fibrillation,h,Diabetes Mellitus
Atrial fibrillation,h,Obesity
Atrial fibrillation,h,Smoking
Atrial fibrillation,h,Excessive Alcohol Consumption
Atrial fibrillation,m,"Chronic Kidney Disease, CKD"
Atrial fibrillation,h,History of Myocardial Infarction and CAD
Atrial fibrillation,m,"Obstructive Sleep Apnea, OSA"
Heart failure,h,Dyspnea
Heart failure,h,Orthopnea
Heart failure,h,"Paroxysmal Nocturnal Dyspnea, PND"
Heart failure,h,Peripheral Edema
Heart failure,h,Fatigue & Weakness
Heart failure,h,Rapid Weight Gain or Loss
Heart failure,m,Nocturia
Heart failure,m,Cyanosis
Heart failure,m,"Irregular Heartbeat, Palpitations"
Heart failure,m,Loss of Appetite & Abdominal Distension
Heart failure,h,Hypertension
Heart failure,h,"Coronary Artery Disease, CAD"
Heart failure,h,Diabetes Mellitus
Heart failure,m,"Chronic Kidney Disease, CKD"
Heart failure,m,Obesity
Heart failure,m,Alcohol & Smoking
Heart failure,h,Prior Myocardial Infarction
Anaphylaxis,h,Acute Onset of Symptoms
Anaphylaxis,h,"Skin and Mucosal Involvement: Urticaria, Angioedema, Flushing, Pruritus"
Anaphylaxis,h,"Respiratory Symptoms: Dyspnea, Wheezing, Stridor, Upper Airway Edema"
Anaphylaxis,h,"Hypotension, Shock, Syncope"
Anaphylaxis,h,"Severe Gastrointestinal Symptoms: Cramping, Vomiting, Diarrhea"
Anaphylaxis,m,"Hoarseness, Difficulty Swallowing with Respiratory Distress"
Anaphylaxis,m,"Tachycardia, Arrhythmia"
Anaphylaxis,m,Confusion and Altered Mental Status
Anaphylaxis,m,Nausea and Mild Abdominal Symptoms Without Hypotension
Anaphylaxis,h,History of Anaphylaxis
